inci	cas	ec	functions	restriction
PEG-150 LANOLIN	61790-81-6		EMULSIFYING	
PEG-150 LAURATE	9004-81-3		SURFACTANT	
PEG-150 OLEATE	9004-96-0		SURFACTANT	
PEG-150 PENTAERYTHRITYL TETRASTEARATE			EMULSIFYING	
PEG-150 POLYGLYCERYL-2 TRISTEARATE	-	-	CLEANSING, EMULSIFYING, SKIN CONDITIONING	
PEG-150 STEARATE	9004-99-3		SURFACTANT	
PEG-150/STEARYL ALCOHOL/SMDI COPOLYMER			FILM FORMING, VISCOSITY CONTROLLING	
PEG-16	25322-68-3		HUMECTANT, SOLVENT	
PEG-16 CASTOR OIL	61791-12-6		EMOLLIENT, EMULSIFYING	
PEG-16 CASTOR OIL DIOLEATE	714216-77-0		SURFACTANT	
PEG-16 CETYL/OLEYL/STEARYL/LANOLIN ALCOHOL ETHER			EMULSIFYING, SURFACTANT	
PEG-16 DILAURATE	9005-02-1		EMULSIFYING	
PEG-16 HYDROGENATED CASTOR OIL	61788-85-0		EMULSIFYING, SURFACTANT	
PEG-16 MACADAMIA GLYCERIDES			EMOLLIENT, EMULSIFYING	
PEG-16 OLEATE	9004-96-0		EMULSIFYING	
PEG-16 SOY STEROL			EMULSIFYING	
PEG-16 TALLATE	61791-00-2		EMULSIFYING	
PEG-160 SORBITAN TRIISOSTEARATE	-	-	CLEANSING, EMULSIFYING, SURFACTANT	
PEG-160M	25322-68-3		BINDING, EMULSION STABILISING, VISCOSITY CONTROLLING	
PEG-17 DIMETHICONE			HAIR CONDITIONING, SKIN CONDITIONING	
PEG-175 DIISOSTEARATE			EMULSIFYING	
PEG-175 DISTEARATE	9005-08-7	-	EMULSIFYING, SURFACTANT, VISCOSITY CONTROLLING	
PEG-18	25322-68-3		HUMECTANT, SOLVENT	
PEG-18 CASTOR OIL DIOLEATE			EMULSIFYING	
PEG-18 GLYCERYL OLEATE/COCOATE			EMULSIFYING	
PEG-18 PALM GLYCERIDES			EMOLLIENT, EMULSIFYING	
PEG-18 PALMITATE	9004-94-8		EMULSIFYING	
PEG-18 STEARATE	9004-99-3		EMULSIFYING	
PEG-180	25322-68-3	-	HUMECTANT, SOLVENT	
PEG-180 BISPOLYLACTIDE	131151-09-2		HAIR CONDITIONING	
PEG-180/LAURETH-50/TMMG COPOLYMER			VISCOSITY CONTROLLING	
PEG-180/OCTOXYNOL-40/TMMG COPOLYMER			VISCOSITY CONTROLLING	
PEG-180M	25322-68-3		BINDING, EMULSION STABILISING, VISCOSITY CONTROLLING	
PEG-190 DISTEARATE	9005-08-7	-	EMULSIFYING, SURFACTANT, VISCOSITY CONTROLLING	
PEG-192 APRICOT KERNEL GLYCERIDES			EMOLLIENT, EMULSIFYING	
PEG-1M	25322-68-3		BINDING, EMULSION STABILISING, VISCOSITY CONTROLLING	
PEG-2 BENZYL ETHER			SOLVENT	
PEG-2 CAPRYLYLAMINE	15520-05-5		CLEANSING, EMULSIFYING, SURFACTANT, VISCOSITY CONTROLLING	
PEG-2 CASTOR OIL	61791-12-6	500-151-7	EMULSIFYING, SURFACTANT	
PEG-2 COCAMIDE	68425-44-5	500-211-2	EMULSIFYING, FOAM BOOSTING	
PEG-2 COCAMINE	61791-14-8	500-152-2	EMULSIFYING	
PEG-2 COCO-BENZONIUM CHLORIDE			ANTISTATIC, SURFACTANT	
PEG-2 COCOMONIUM CHLORIDE	70750-47-9	274-846-6	ANTISTATIC, EMULSIFYING, SURFACTANT	
PEG-2 DIETHYLHEXANOATE	72269-52-4	276-553-9	EMULSIFYING	
PEG-2 DIISONONANOATE			EMULSIFYING	
PEG-2 DIISOSTEARATE			EMULSIFYING	
PEG-2 DILAURATE	9005-02-1		EMULSIFYING	
PEG-2 DIMEADOWFOAMAMIDOETHYLMONIUM METHOSULFATE	226995-92-2		ANTISTATIC, HAIR CONDITIONING	
PEG-2 DIOLEATE	9005-07-6		EMULSIFYING	
PEG-2 DIROSINATE	242812-90-4		SKIN CONDITIONING, VISCOSITY CONTROLLING	
PEG-2 DISTEARATE	109-30-8	203-663-6	EMULSIFYING	
PEG-2 HYDROGENATED CASTOR OIL	61788-85-0	500-147-5	EMULSIFYING	
PEG-2 HYDROGENATED TALLOW AMINE	61791-26-2	500-153-8	EMULSIFYING, SURFACTANT	
PEG-2 ISOSTEARATE	56002-14-3		CLEANSING, EMULSIFYING	
PEG-2 LAURAMIDE	26635-75-6		CLEANSING, EMULSIFYING	
PEG-2 LAURAMINE	31017-83-1		ANTISTATIC, FOAM BOOSTING	
PEG-2 LAURATE	141-20-8	205-468-1	EMULSIFYING	
PEG-2 LAURATE SE			EMULSIFYING	
PEG-2 LAURDIMONIUM BROMIDE NYLON-6 CROSSPOLYMER	-	-	HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING	
PEG-2 MILK SOLIDS			ANTISTATIC, EMOLLIENT	
PEG-2 OLEAMINE	25307-17-9	246-807-3	EMULSIFYING	
PEG-2 OLEAMINE HYDROFLUORIDE	207916-33-4	-	ORAL CARE	III/xx
PEG-2 OLEAMMONIUM CHLORIDE	18448-65-2	242-332-0	ANTISTATIC, EMULSIFYING, SURFACTANT	
PEG-2 OLEATE	106-12-7	203-364-0	EMULSIFYING	
PEG-2 OLEATE SE	9004-96-0	500-015-7	EMULSIFYING	
PEG-2 OLIVE GLYCERIDES	103819-46-1		EMOLLIENT, EMULSIFYING	
PEG-2 PHENYL ETHER	104-68-7	203-227-5	SOLVENT	
PEG-2 RAPESEEDAMINE			ANTISTATIC	
PEG-2 RICINOLEATE	5401-17-2	226-448-9	EMULSIFYING	
PEG-2 SORBITAN ISOSTEARATE	66794-58-9		EMULSIFYING, SURFACTANT	
PEG-2 SORBITAN TRIOLEATE			EMULSIFYING	
PEG-2 SOYAMINE	61791-24-0		EMULSIFYING, SURFACTANT	
PEG-2 STEARAMIDE CARBOXYLIC ACID	90453-59-1		SURFACTANT	
PEG-2 STEARAMINE	10213-78-2	233-520-3	ANTISTATIC, EMULSIFYING	
PEG-2 STEARATE	106-11-6	203-363-5	EMULSIFYING, OPACIFYING	
PEG-2 STEARATE SE			EMULSIFYING	
PEG-2 STEARMONIUM CHLORIDE	60687-87-8		ANTISTATIC, EMULSIFYING	
PEG-2 SUNFLOWER GLYCERIDES	180254-52-8 / 186511-05-7		EMOLLIENT, EMULSIFYING	
PEG-2 TALLOW AMINE	61791-26-2		ANTISTATIC	
PEG-2 TALLOWAMIDE DEA			EMULSIFYING, EMULSION STABILISING	
PEG-20	25322-68-3		HUMECTANT, SOLVENT	
PEG-20 ALMOND GLYCERIDES	226993-90-4		EMULSIFYING	
PEG-20 BEESWAX			EMULSIFYING	
PEG-20 CASTOR OIL	61791-12-6		EMULSIFYING, SURFACTANT	
PEG-20 COCAMIDE	68425-44-5		EMULSIFYING	
PEG-20 COCAMIDE MEA	68425-44-5		EMULSIFYING	
PEG-20 COCAMINE	61791-14-8	-	EMULSIFYING, SURFACTANT	
PEG-20 CORN GLYCERIDES			EMULSIFYING	
PEG-20 DILAURATE	9005-02-1		EMULSIFYING	
PEG-20 DIOLEATE	9005-07-6		EMULSIFYING	
PEG-20 DIRICINOLEATE			SKIN CONDITIONING	
PEG-20 DISTEARATE	9005-08-7		EMULSIFYING	
PEG-20 EVENING PRIMROSE GLYCERIDES	124046-44-2	-	EMULSIFYING	
PEG-20 GLYCERYL COCOATE	68201-46-7 (generic)	614-376-4 (L)		
PEG-20 GLYCERYL DIISOSTEARATE	-	-	EMULSIFYING, SURFACTANT	
PEG-20 GLYCERYL ISOSTEARATE	-	-	SURFACTANT	
PEG-20 GLYCERYL LAURATE	59070-56-3	-	EMULSIFYING, SURFACTANT	
PEG-20 GLYCERYL OLEATE	-	-	EMULSIFYING, SURFACTANT	
PEG-20 GLYCERYL RICINOLEATE	51142-51-9	-	EMULSIFYING, SURFACTANT	
PEG-20 GLYCERYL STEARATE			EMULSIFYING	
PEG-20 GLYCERYL TRIISOSTEARATE			EMOLLIENT, EMULSIFYING	
PEG-20 GLYCERYL TRIOLEATE	68958-64-5		EMOLLIENT, EMULSIFYING	
PEG-20 GLYCERYL TRISTEARATE	41080-66-4		EMOLLIENT, EMULSIFYING	
PEG-20 HEXADECENYLSUCCINATE	178254-04-1		EMULSIFYING	
PEG-20 HYDROGENATED CASTOR OIL	61788-85-0		EMULSIFYING, SURFACTANT	
PEG-20 HYDROGENATED CASTOR OIL ISOSTEARATE			EMULSIFYING, VISCOSITY CONTROLLING	
PEG-20 HYDROGENATED CASTOR OIL LAURATE			SKIN CONDITIONING	
PEG-20 HYDROGENATED CASTOR OIL PCA ISOSTEARATE			EMULSIFYING	
PEG-20 HYDROGENATED CASTOR OIL TRIISOSTEARATE	188734-82-9		EMULSIFYING, VISCOSITY CONTROLLING	
PEG-20 HYDROGENATED DIMER DILINOLEATE	-	-	EMULSIFYING, SURFACTANT	
PEG-20 HYDROGENATED LANOLIN	68648-27-1		EMOLLIENT, EMULSIFYING	
PEG-20 HYDROGENATED PALM GLYCERIDES			EMOLLIENT, EMULSIFYING	
PEG-20 HYDROGENATED TALLOW AMINE	61791-26-2	500-153-8	EMULSIFYING, SURFACTANT	
PEG-20 ISOSTEARATE	56002-14-3		EMULSIFYING, SURFACTANT	
PEG-20 LANOLATE	68459-50-7	-	EMULSIFYING, SURFACTANT	
PEG-20 LANOLIN	61790-81-6	-	EMULSIFYING, SURFACTANT	
PEG-20 LAURATE	9004-81-3	-	EMULSIFYING, SURFACTANT	
PEG-20 MANNITAN LAURATE			EMULSIFYING	
PEG-20 METHYL GLUCOSE DISTEARATE	119831-19-5		EMOLLIENT, EMULSIFYING	
PEG-20 METHYL GLUCOSE SESQUICAPRYLATE/SESQUICAPRATE			EMULSIFYING	
PEG-20 METHYL GLUCOSE SESQUILAURATE			EMULSIFYING	
PEG-20 METHYL GLUCOSE SESQUISTEARATE	68389-70-8		EMULSIFYING	
PEG-20 MYRISTATE	-	-	EMULSIFYING, SURFACTANT	
PEG-20 OLEAMINE	26635-93-8		ANTISTATIC, EMULSIFYING	
PEG-20 OLEATE	9004-96-0	-	EMULSIFYING, SURFACTANT	
PEG-20 PALMITATE	9004-94-8	-	EMULSIFYING, SURFACTANT	
PEG-20 PHYTOSTEROL	-	-	EMULSIFYING, SURFACTANT	
PEG-20-PPG-10 GLYCERYL STEARATE			EMULSIFYING	
PEG-20 SORBITAN COCOATE	-	-	EMULSIFYING, SURFACTANT	
PEG-20 SORBITAN ISOSTEARATE	66794-58-9	-	EMULSIFYING, SURFACTANT	
PEG-20 SORBITAN OLEATE	9005-65-6	-	CLEANSING, EMULSIFYING, SURFACTANT	
PEG-20 SORBITAN TRIISOSTEARATE	-	-	EMULSIFYING	
PEG-20 SOY STEROL			EMULSIFYING	
PEG-20 STEARATE	9004-99-3	-	EMULSIFYING, HUMECTANT, SURFACTANT	
PEG-20 TALLATE	61791-00-2	-	EMULSIFYING, SURFACTANT	
PEG-20 TALLOW AMINE	61791-26-2		ANTISTATIC	
PEG-20 TALLOW AMMONIUM ETHOSULFATE			ANTISTATIC	
PEG-20 TALLOWATE	68153-64-0	-	EMULSIFYING, SURFACTANT	
PEG-20 TSUBAKIATE GLYCERIDES			EMULSIFYING	
PEG-200	25322-68-3		HUMECTANT, SOLVENT	
PEG-200 CASTOR OIL	61791-12-6	-	EMULSIFYING, SURFACTANT	
PEG-200 GLYCERYL STEARATE	51158-08-8	-	SURFACTANT	
PEG-200 GLYCERYL TALLOWATE	68553-11-7	-	EMULSIFYING, SURFACTANT	
PEG-200 HYDROGENATED CASTOR OIL	61788-85-0	-	EMULSIFYING, SURFACTANT	
PEG-200 HYDROGENATED CASTOR OIL/IPDI COPOLYMER	207620-98-2	-	SKIN CONDITIONING	
PEG-200 HYDROGENATED GLYCERYL PALMATE	-	-	CLEANSING, EMULSIFYING, SOLVENT, SURFACTANT	
PEG-200 TRIHYDROXYSTEARIN	-	-	EMULSIFYING, SURFACTANT	
PEG-20M	25322-68-3		BINDING, EMULSION STABILISING, VISCOSITY CONTROLLING	
PEG-22 DIMETHACRYLATE	-	-	NAIL CONDITIONING	
PEG-22/DODECYL GLYCOL COPOLYMER	78336-31-9		EMULSIFYING, STABILISING	
PEG-22 TALLOW AMINE	61791-26-2		HAIR CONDITIONING	
PEG-220	25322-68-3		BINDING, HUMECTANT, SOLVENT	
PEG-222 PENTAERYTHRITYL ADIPATE-SUCCINIMIDE DENDRIMER	-	-	EMOLLIENT, SKIN CONDITIONING	
PEG-23 GLYCERYL DISTEARATE			EMOLLIENT	
PEG-23 GLYCERYL LAURATE	59070-56-3	-	EMULSIFYING, SURFACTANT	
PEG-23 HEXADECYLEICOSANOATE			EMULSIFYING	
PEG-23 OCTYLDODECANOATE	-	-	EMULSIFYING	
PEG-23 OLEATE	9004-96-0	-	EMULSIFYING, SURFACTANT	
PEG-23 OLIVATE	226708-41-4	-	EMOLLIENT, EMULSIFYING, SURFACTANT	
PEG-23 POLY(1,2-BUTANEDIOL)-21 PROPYLENE GLYCOL DIMETHYL ETHER			EMULSIFYING, SURFACTANT	
PEG-23 STEARATE	9004-99-3	-	EMULSIFYING, SURFACTANT	
PEG-23M	25322-68-3		BINDING, EMULSION STABILISING, VISCOSITY CONTROLLING	
PEG-24 HYDROGENATED LANOLIN	68648-27-1		EMULSIFYING	
PEG-24 LANOLIN	61790-81-6		EMULSIFYING	
PEG-24 TRISILOXANE				
PEG-240	25322-68-3	-	HUMECTANT, SOLVENT	
PEG-240/HDI COPOLYMER BIS-DECYLTETRADECETH-20 ETHER	-	-	STABILISING, VISCOSITY CONTROLLING	
PEG-25 AVOCADO OIL GLYCERYL ESTERS			EMULSIFYING, SURFACTANT	
PEG-25 BUTYLENE GLYCOL ISOSTEARATE			EMULSIFYING, SURFACTANT	
PEG-25 CASTOR OIL	61791-12-6		EMULSIFYING, SURFACTANT	
PEG-25 DIETHYLMONIUM CHLORIDE			ANTISTATIC, SURFACTANT	
PEG-25 GLYCERYL ISOSTEARATE			EMULSIFYING	
PEG-25 GLYCERYL OLEATE	-	-	EMULSIFYING, SURFACTANT	
PEG-25 GLYCERYL STEARATE	-	-	EMULSIFYING, SURFACTANT	
PEG-25 GLYCERYL TRIOLEATE	68958-64-5		EMULSIFYING	
PEG-25 HYDROGENATED CASTOR OIL	61788-85-0		EMULSIFYING, SURFACTANT	
PEG-25 MORINGA GLYCERIDES			EMOLLIENT, EMULSIFYING	
PEG-25 OLEAMINE	26635-93-8		ANTISTATIC, CLEANSING	
PEG-25 PABA	116242-27-4	-	UV ABSORBER, UV FILTER	VI/13
PEG-25 PHYTOSTANOL	-	-	EMULSIFYING	
PEG-25 PROPYLENE GLYCOL STEARATE	-	-	EMULSIFYING, SURFACTANT	
PEG-25 SOY STEROL			EMULSIFYING	
PEG-25 STEARATE	9004-99-3	-	EMULSIFYING, SURFACTANT	
PEG-25 TALLOW AMINE	-	-	ANTISTATIC, HAIR CONDITIONING	
PEG-250 DISTEARATE	9005-08-7	-	CLEANSING, SURFACTANT	
PEG-25M	25322-68-3		HUMECTANT	
PEG-26 CASTOR OIL	61791-12-6	-	EMULSIFYING, SURFACTANT	
PEG-26 JOJOBA ACID	-	-	EMULSIFYING, SURFACTANT	
PEG-26 JOJOBA ALCOHOL	-	-	EMULSIFYING, SURFACTANT	
PEG-26-PPG-30 PHOSPHATE			CLEANSING, HYDROTROPE	
PEG-27 LANOLIN	61790-81-6	-	EMULSIFYING, SURFACTANT	
PEG-28 GLYCERYL TALLOWATE	-	-	EMULSIFYING, SURFACTANT	
PEG-29 CASTOR OIL	61791-12-6		EMULSIFYING, SURFACTANT	
PEG-2M	25322-68-3		BINDING, EMULSION STABILISING, VISCOSITY CONTROLLING	
PEG-3 2,2'-DI-P-PHENYLENEDIAMINE	-	-	HAIR DYEING	
PEG-3 BUTYLENE GLYCOL LAURATE			EMOLLIENT, EMULSIFYING	
PEG-3 CASTOR OIL	61791-12-6	500-151-7	EMULSIFYING, SURFACTANT	
PEG-3 COCAMIDE	61791-08-0		EMULSIFYING, SURFACTANT	
PEG-3 COCAMIDE DEA			EMULSIFYING	
PEG-3 COCAMINE	61791-14-8	500-152-2	EMULSIFYING	
PEG-3 DICAPRYLATE/CAPRATE			EMULSIFYING	
PEG-3 DIETHYLENETRIAMINE DIPALMAMIDE			HAIR CONDITIONING	
PEG-3 DIISOSTEARATE			EMULSIFYING	
PEG-3 DIMETHICONE			HAIR CONDITIONING, SKIN CONDITIONING	
PEG-3 DIOLEATE	9005-07-6		EMULSIFYING	
PEG-3 DIOLEOYLAMIDOETHYLMONIUM METHOSULFATE	224948-78-1		ANTISTATIC, HAIR CONDITIONING	
PEG-3 DIPALMITATE	32628-06-1		EMULSIFYING	
PEG-3 DIROSINATE	242812-90-4		SKIN CONDITIONING, VISCOSITY CONTROLLING	
PEG-3 DISOYOYLAMIDOETHYLMONIUM METHOSULFATE	68605-27-6		ANTISTATIC, HAIR CONDITIONING	
PEG-3 DISTEARATE	9005-08-7		EMULSIFYING	
PEG-3 DISTEAROYLAMIDOETHYLMONIUM METHOSULFATE			ANTISTATIC, HAIR CONDITIONING	
PEG-3 GLYCERYL COCOATE			EMOLLIENT, EMULSIFYING	
PEG-3 GLYCERYL ISOSTEARATE			EMOLLIENT, EMULSIFYING	
PEG-3 GLYCERYL TRIISOSTEARATE			EMOLLIENT, EMULSIFYING	
PEG-3 GLYCERYL TRIOLEATE	68958-64-5		EMOLLIENT, EMULSIFYING	
PEG-3 GLYCERYL TRISTEARATE	41080-66-4		EMOLLIENT, EMULSIFYING	
PEG-3 ISOSTEARATE	56002-14-3		CLEANSING, EMULSIFYING	
PEG-3 LANOLATE	68459-50-7		EMULSIFYING	
PEG-3 LAURAMIDE	26635-75-6		EMULSIFYING	
PEG-3 LAURAMINE OXIDE			ANTISTATIC, SURFACTANT	
PEG-3 METHYL ETHER	9004-74-4		HUMECTANT, SOLVENT	
PEG-3 OLEAMIDE	26027-37-2		EMULSIFYING, SURFACTANT	
PEG-3 OLEATE	9004-96-0		EMULSIFYING	
PEG-3/PPG-2 GLYCERYL/SORBITOL HYDROXYSTEARATE/ISOSTEARATE			EMULSIFYING	
PEG-3 PPG-20 SUCCINATE			EMOLLIENT	
PEG-3 PPG-7 ETHYLHEXYL ETHER	64366-70-7		CLEANSING, SURFACTANT	
PEG-3 RAPESEED AMINOPROPYLAMINE	-	-	ANTISTATIC, SURFACTANT	
PEG-3 SORBITAN OLEATE	9005-65-6		EMULSIFYING	
PEG-3 SORBITAN STEARATE	9005-67-8		EMULSIFYING	
PEG-3 SORBITAN TRISTEARATE			EMULSIFYING	
PEG-3 STEARATE	9004-99-3		HUMECTANT	
PEG-3 TALLOW AMINOPROPYLAMINE	90367-27-4	291-275-8	ANTISTATIC, EMULSIFYING	
PEG-3 TALLOW PROPYLENEDIMONIUM DIMETHOSULFATE	93572-63-5	297-495-0	ANTISTATIC	
PEG-3 TRIMETHYLOLPROPANE TRIACRYLATE	28961-43-5		BINDING, FILM FORMING	
PEG-3 TRIMETHYLOLPROPANE TRIISOSTEARATE			SKIN CONDITIONING	
PEG-3 TRIMETHYLOLPROPANE TRISTEARATE			SKIN CONDITIONING	
PEG-30 CASTOR OIL	61791-12-6		EMULSIFYING, SURFACTANT	
PEG-30 DIPOLYHYDROXYSTEARATE			EMULSIFYING	
PEG-30 GLYCERYL COCOATE	-	-	EMULSIFYING, SURFACTANT	
PEG-30 GLYCERYL DIISOSTEARATE	-	-	EMULSIFYING, SURFACTANT	
PEG-30 GLYCERYL ISOSTEARATE	-	-	SURFACTANT	
PEG-30 GLYCERYL LAURATE	59070-56-3	-	EMULSIFYING, SURFACTANT	
PEG-30 GLYCERYL OLEATE	-	-	EMULSIFYING, SURFACTANT	
PEG-30 GLYCERYL SOYATE	-	-	CLEANSING, EMOLLIENT, SURFACTANT	
PEG-30 GLYCERYL STEARATE	-	-	EMULSIFYING, SURFACTANT	
PEG-30 GLYCERYL TRIISOSTEARATE			EMOLLIENT, EMULSIFYING	
PEG-30 GLYCERYL TRIOLEATE	68958-64-5		EMOLLIENT, EMULSIFYING	
PEG-30 HYDROGENATED CASTOR OIL	61788-85-0		EMULSIFYING, SURFACTANT	
PEG-30 HYDROGENATED CASTOR OIL ISOSTEARATE			EMULSIFYING, VISCOSITY CONTROLLING	
PEG-30 HYDROGENATED CASTOR OIL LAURATE			SKIN CONDITIONING	
PEG-30 HYDROGENATED CASTOR OIL PCA ISOSTEARATE			EMULSIFYING	
PEG-30 HYDROGENATED CASTOR OIL TRIISOSTEARATE			EMULSIFYING, VISCOSITY CONTROLLING	
PEG-30 HYDROGENATED DIMER DILINOLEATE	-	-	EMULSIFYING, SURFACTANT	
PEG-30 HYDROGENATED LANOLIN	68648-27-1	-	EMULSIFYING, SURFACTANT	
PEG-30 HYDROGENATED TALLOW AMINE	61791-26-2	500-153-8	EMULSIFYING, SURFACTANT	
PEG-30 ISOSTEARATE	56002-14-3		EMULSIFYING, SURFACTANT	
PEG-30 LANOLIN	61790-81-6	-	EMULSIFYING, SURFACTANT	
PEG-30 OLEAMINE	26635-93-8	-	EMULSIFYING, SURFACTANT	
PEG-30 PHYTOSTEROL			EMULSIFYING	
PEG-30 SORBITAN TETRAOLEATE			EMULSIFYING	
PEG-30 SOY STEROL			EMULSIFYING, SURFACTANT	
PEG-30 STEARATE	9004-99-3	-	EMULSIFYING, SURFACTANT	
PEG-30 TALLOW AMINE			HAIR CONDITIONING	
PEG-32	25322-68-3		HUMECTANT, SOLVENT	
PEG-32 DILAURATE	9005-02-1		EMULSIFYING	
PEG-32 DIOLEATE	9005-07-6		EMULSIFYING	
PEG-32 DISTEARATE	9005-08-7		EMULSIFYING	
PEG-32 LAURATE	9004-81-3	-	SURFACTANT	
PEG-32 METHYL ETHER DIMETHICONE			EMULSIFYING, HAIR CONDITIONING, SKIN CONDITIONING	
PEG-32 OLEATE	9004-96-0	-	EMULSIFYING, SURFACTANT	
PEG-32 STEARATE	9004-99-3	-	EMULSIFYING, SURFACTANT	
PEG-33	25322-68-3		HUMECTANT, SOLVENT	
PEG-33 CASTOR OIL	61791-12-6		EMULSIFYING, SURFACTANT	
PEG-35 ALMOND GLYCERIDES	226993-90-4		EMULSIFYING	
PEG-35 CASTOR OIL	61791-12-6		EMULSIFYING, SURFACTANT	
PEG-35 HYDROGENATED CASTOR OIL	61788-85-0	-	EMULSIFYING, SURFACTANT	
PEG-35 LANOLIN	61790-81-6	-	EMULSIFYING, SURFACTANT	
PEG-35 SOY GLYCERIDES	-	-	EMULSIFYING, SURFACTANT	
PEG-35 STEARATE	9004-99-3	-	EMULSIFYING, SURFACTANT	
PEG-350	25322-68-3		BINDING, SOLVENT	
PEG-36 CASTOR OIL	61791-12-6		EMULSIFYING, SURFACTANT	
PEG-36 OLEATE	9004-96-0	-	EMULSIFYING, SURFACTANT	
PEG-36 STEARATE	9004-99-3	-	EMULSIFYING, SURFACTANT	
PEG-4	25322-68-3		HUMECTANT, SOLVENT	
PEG-4 AMINOETHYLAMINO-PG-PROPYL DIMETHICONE				
PEG-4 CAPRYLIC/CAPRIC GLYCERIDES			EMULSIFYING	
PEG-4 CASTOR OIL	61791-12-6	500-151-7	EMULSIFYING, SURFACTANT	
PEG-4 COCAMIDE	68425-44-5	500-211-2	EMULSIFYING, SURFACTANT	
PEG-4 COCAMINE	-	-	CLEANSING, EMULSIFYING, SURFACTANT	
PEG-4 DIACRYLATE	17831-71-9	241-789-3		
PEG-4 DICOCOATE	69278-77-9	273-950-9	EMOLLIENT, EMULSIFYING	
PEG-4 DIHEPTANOATE			EMULSIFYING	
PEG-4 DIISOSTEARATE			EMULSIFYING	
PEG-4 DILAURATE	9005-02-1		EMULSIFYING	
PEG-4 DIMETHACRYLATE			BINDING, FILM FORMING	
PEG-4 DIOLEATE	9005-07-6		EMULSIFYING	
PEG-4 DISTEARATE	9005-08-7		EMULSIFYING	
PEG-4 DISTEARYL ETHER			HAIR CONDITIONING, OPACIFYING, PLASTICISER, SKIN CONDITIONING	
PEG-4 DISTEARYLETHONIUM ETHOSULFATE			ANTISTATIC, HAIR CONDITIONING	
PEG-4 DITALLOW ETHER			REFATTING, SKIN CONDITIONING	
PEG-4 ETHYLHEXANOATE			EMULSIFYING	
PEG-4 GLYCERYL DISTEARATE	-	-	EMOLLIENT, SKIN CONDITIONING	
PEG-4 GLYCERYL TRISTEARATE	41080-66-4		EMOLLIENT, EMULSIFYING	
PEG-4 ISOSTEARATE	56002-14-3		EMULSIFYING	
PEG-4 LANOLATE	68459-50-7		EMULSIFYING	
PEG-4 LAURATE	9004-81-3		EMULSIFYING, SURFACTANT	
PEG-4 METHYL ETHER	9004-74-4		HUMECTANT, SOLVENT	
PEG-4 MONTANATE	68476-04-0		BINDING, EMULSIFYING, VISCOSITY CONTROLLING	
PEG-4 OLEAMIDE	26027-37-2		EMULSIFYING	
PEG-4 OLEATE	9004-96-0		EMULSIFYING	
PEG-4 OLIVATE	226708-41-4		EMULSIFYING	
PEG-4 PEG-12 DIMETHICONE	-	-	EMULSION STABILISING	
PEG-4 POLYGLYCERYL-2 DISTEARATE	86360-24-9		EMULSIFYING	
PEG-4 POLYGLYCERYL-2 STEARATE			EMULSIFYING	
PEG-4/PPG-1 PENTAERYTHRITYL TETRAACRYLATE	144086-02-2	604-394-0 (L)	NAIL CONDITIONING	
PEG-4-PPG-7 C13/C15 ALCOHOL			SURFACTANT	
PEG-4 PROLINE LINOLEATE			EMOLLIENT	
PEG-4 PROLINE LINOLENATE			EMOLLIENT	
PEG-4 RAPESEEDAMIDE	85536-23-8		VISCOSITY CONTROLLING	
PEG-4 SORBITAN STEARATE	9005-67-8		EMULSIFYING	
PEG-4 SORBITAN TRIISOSTEARATE			EMULSIFYING	
PEG-4 STEARAMIDE			SURFACTANT	
PEG-4 STEARATE	9004-99-3		EMULSIFYING	
PEG-4 TALLATE	61791-00-2		EMULSIFYING	
PEG-4 TRIFLUOROPROPYL DIMETHICONE COPOLYMER			HAIR CONDITIONING, SKIN CONDITIONING	
PEG-4 TRIMETHYLOLPROPANE DISTEARATE			EMULSIFYING	
PEG-4 TRIMETHYLOLPROPANE TRIACRYLATE	28961-43-5		FILM FORMING	
PEG-40	25322-68-3		HUMECTANT, SOLVENT	
PEG-40 CASTOR OIL	61791-12-6		EMULSIFYING, SURFACTANT	
PEG-40 DISTEARATE	-	-	EMULSIFYING	
PEG-40 GLYCERYL COCOATE	-	-	EMULSIFYING, SURFACTANT	
PEG-40 GLYCERYL ISOSTEARATE			CLEANSING, EMULSIFYING	
PEG-40 GLYCERYL STEARATE	-	-	EMULSIFYING, SURFACTANT	
PEG-40 GLYCERYL TRIISOSTEARATE			EMOLLIENT, EMULSIFYING	
PEG-40 GLYCERYL TRIOLEATE	68958-64-5		EMOLLIENT, EMULSIFYING	
PEG-40 HYDROGENATED CASTOR OIL	61788-85-0	-	EMULSIFYING, SURFACTANT	
PEG-40 HYDROGENATED CASTOR OIL/IPDI COPOLYMER				
PEG-40 HYDROGENATED CASTOR OIL ISOSTEARATE			EMULSIFYING, VISCOSITY CONTROLLING	
PEG-40 HYDROGENATED CASTOR OIL LAURATE			SKIN CONDITIONING	
PEG-40 HYDROGENATED CASTOR OIL PCA ISOSTEARATE			SKIN CONDITIONING	
PEG-40 HYDROGENATED CASTOR OIL TRIISOSTEARATE			EMULSIFYING, VISCOSITY CONTROLLING	
PEG-40 HYDROGENATED DIMER DILINOLEATE	-	-	EMULSIFYING, SURFACTANT	
PEG-40 HYDROGENATED LANOLIN	68648-27-1		EMULSIFYING, HAIR CONDITIONING	
PEG-40 HYDROGENATED TALLOW AMINE	61791-26-2	500-153-8	EMULSIFYING, SURFACTANT	
