inci	cas	ec	functions	restriction
2,4-DIMETHYL-3-CYCLOHEXENE-1-METHYLACETATE	67634-26-8	266-831-8	PERFUMING	
2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE	68039-49-6	268-264-1	MASKING, PERFUMING, TONIC	
2,4-DIMETHYL-4,4A,5,9B-TETRAHYDROINDENO-1,3-DIOXIN	27606-09-3	248-561-2	PERFUMING	
2,4-DIMETHYL-4-PHENYLTETRAHYDROFURAN	82461-14-1	279-967-8	PERFUMING	
2,4-DIMETHYL CYCLOHEXENECARBONITRILE	66848-41-7	266-498-9	PERFUMING	
2,4-DIMETHYLBENZYLACETATE	62346-96-7	263-518-8	PERFUMING	
2,4-DIMETHYLCYCLOHEXYLMETHYL ACETATE	67634-22-4	266-827-6	PERFUMING	
2,4-DIMETHYLHEPTA-2,2-DIENAL	85136-08-9	285-731-5	PERFUMING	
2,4-DIMETHYLPYRIDINE	108-47-4	203-586-8	PERFUMING	
2,4-HEXADIENAL	142-83-6	205-564-3	PERFUMING	
2,4-HEXADIENOL	111-28-4	203-853-9	PERFUMING	
2,4-HEXADIENYL ACETATE	1516-17-2	216-163-8	PERFUMING	
2,4-XYLENOL	105-67-9	203-321-6	PERFUMING	
2,5,5-TRIMETHYL-2-PHENYL-1,3-DIOXANE	5406-58-6	226-466-7	PERFUMING	
2,5,6-TRIAMINO-4-PYRIMIDINOL SULFATE	1603-02-7	216-500-9	HAIR DYEING	III/301
2,5,6-TRIMETHYL-2-CYCLOHEXENONE	20030-30-2	243-473-0	PERFUMING	
2,5-DIHYDRO-4-METHYLTHIAZOL-5-ETHANOL	84041-80-5	281-860-6	PERFUMING	
2,5-DIHYDROXYBENZOIC ACID	490-79-9	207-718-5	SKIN CONDITIONING	
2,5-DIHYDROXYBENZOYL DIPEPTIDE-27				
2,5-DIHYDROXYBENZOYL DIPEPTIDE-48				
2,5-DIMETHYL-2-VINYLHEX-4-ENAL	56134-05-5	260-006-6	PERFUMING	
2,5-DIMETHYLPYRAZINE	123-32-0	204-618-3	PERFUMING	
2,5-XYLENOL	95-87-4	202-461-5	PERFUMING	
2,6,6-TRIMETHYL-1-CYCLOHEXENE-1-ACETALDEHYDE	472-66-2	207-454-0	PERFUMING	
2,6,6-TRIMETHYL-2-CYCLOHEXENE-1-ACETALDEHYDE	472-64-0	207-453-5	PERFUMING	
2,6,6-TRIMETHYL-2-CYCLOHEXENE-1-CARBALDEHYDE	432-24-6	207-080-8	PERFUMING	
2,6,6-TRIMETHYLCYCLOHEXENE-1-CARBALDEHYDE	432-25-7	207-081-3	PERFUMING	
2,6-BIS(2-HYDROXYETHOXY)-3,5-PYRIDINEDIAMINE HCL	117907-42-3			
2,6-DIAMINO-3-((PYRIDIN-3-YL)AZO)PYRIDINE	28365-08-4	421-430-9	HAIR DYEING	
2,6-DIAMINOPYRIDINE	141-86-6	205-507-2	HAIR DYEING	
2,6-DIAMINOPYRIDINE SULFATE	146997-97-9		HAIR DYEING	
2,6-DICARBOXYPYRIDINE	499-83-2	207-894-3	CHELATING	
2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE	84540-47-6	283-141-2	HAIR DYEING	III/218
2,6-DIHYDROXYETHYLAMINOTOLUENE	149330-25-6	443-210-1	HAIR DYEING	III/9
2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL	56216-28-5	260-062-1	HAIR DYEING	III/238
2,6-DIMETHYL-4-HEPTANOL	108-82-7	203-619-6	PERFUMING	
2,6-DIMETHYL-4-HEPTANONE	108-83-8	203-620-1	PERFUMING	
2,6-DIMETHYL-7-OCTEN-2-OL	18479-58-8	242-362-4	MASKING, PERFUMING	
2,6-DIMETHYL-P-PHENYLENEDIAMINE	7218-02-2	230-608-3	HAIR DYEING	
2,6-DIMETHYL-P-PHENYLENEDIAMINE HCL	56496-89-0	260-223-6	HAIR DYEING	
2,6-DIMETHYLHEPTA-1,5-DIENE	6709-39-3	229-757-7	PERFUMING	
2,6-DIMETHYLHEPTANOL	13254-34-7	236-244-1	PERFUMING	
2,6-DIMETHYLPYRAZINE	108-50-9	203-589-4	PERFUMING	
2,6-XYLENOL	576-26-1	209-400-1	PERFUMING	
2,7-DIMETHYL-10-ISOPROPYL-1-OXASPIRO-3,6-DECADIENE	89079-92-5		PERFUMING	
2,7-DIMETHYL-5-OCTEN-4-ONE	68419-46-5	270-267-8	PERFUMING	
2,7-DIMETHYL-6-OCTEN-4-ONE	66471-49-6	266-374-4	PERFUMING	
2,7-NAPHTHALENEDIOL	582-17-2	209-478-7	HAIR DYEING	III/4
2-ACETONAPHTHONE	93-08-3	202-216-2	MASKING, PERFUMING	
2-ACETYLHYDROQUINONE	490-78-8	207-716-4	ANTIOXIDANT, BLEACHING, SKIN CONDITIONING	
2-ACRYLAMIDO-2-METHYLPROPANE SULFONIC ACID	15214-89-8	239-268-0	NOT REPORTED	III/33
2-ALLYLOXYETHOXY GLUCOSIDE	285554-73-6			
2-AMINO-3-HYDROXYPYRIDINE	16867-03-1	240-886-8	HAIR DYEING	Annex III/211 - Directive 2012/21/EU
2-AMINO-3-NITROPHENOL	603-85-0	210-060-1		
2-AMINO-4,5-DIMETHYLTHIAZOLE HBR	7170-76-5	230-523-1	SKIN CONDITIONING	
2-AMINO-4-HYDROXYETHYLAMINOANISOLE	83763-47-7	280-733-2	HAIR DYEING	III/245
2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE	83763-48-8	280-734-8	HAIR DYEING	III/245
2-AMINO-4-NITROPHENOL	99-57-0	202-767-9		
2-AMINO-4-NITROPHENOL SULFATE	89418-01-9	-		
2-AMINO-5-ETHYLPHENOL HCL	149861-22-3	-	HAIR DYEING	
2-AMINO-5-NITROPHENOL	121-88-0			
2-AMINO-6-CHLORO-4-NITROPHENOL	6358-09-4	228-762-1	HAIR DYEING	III/252
2-AMINOBUTANOL	96-20-8	202-488-2	BUFFERING	III/61
2-AMINOMETHYL-P-AMINOPHENOL HCL	135043-64-0			
2-BENZYLHEPTANOL	92368-90-6	296-229-0	MASKING, PERFUMING	
2-BROMO-2-NITROPROPANE-1,3-DIOL	52-51-7	200-143-0	PRESERVATIVE	V/21
2-BROMO-2-NITROPROPANE-1,3-DIOL (FORMALDEHYDE RELEASER)	52-51-7	200-143-0		
2-CAPRYLOYL CAPRYLOYL METHYL ALANINATE	2338541-06-1			
2-CARENYL METHYL KETONE	3608-11-5	222-771-4	PERFUMING	
2-CHLORO-5-NITRO-N-HYDROXYETHYL P-PHENYLENEDIAMINE	50610-28-1	256-652-3		
2-CHLORO-6-ETHYLAMINO-4-NITROPHENOL	131657-78-8	411-440-1	HAIR DYEING	III/201
2-CHLORO-P-PHENYLENEDIAMINE	615-66-7	210-441-2	HAIR DYEING	
2-CHLORO-P-PHENYLENEDIAMINE SULFATE	6219-71-2 / 61702-44-1	228-291-1	HAIR DYEING	
2-CYANOMETHYL BENZIMIDAZOLE	4414-88-4	224-574-9		
2-CYCLOHEXENYL CYCLOHEXANONE	1502-22-3	216-120-3	PERFUMING	
2-CYCLOHEXYLETHYL ACETATE	21722-83-8	244-543-3	FLAVOURING, MASKING	
2-DECENAL	3913-71-1 / 3913-81-3	223-472-1 / 223-474-2	PERFUMING	
2-DECENOL	22104-80-9	244-784-4	PERFUMING	
2'-DEOXYADENOSINE	958-09-8,16373-93-6	213-488-7 (I),		
2-DIMETHYLBICYCLOHEPT-2-YLIDENE ETHANOL	2226-05-3	218-755-1	PERFUMING	
2-DIMETHYLCYCLOHEXENYL-5-METHYL-5-METHYLPROPYL-1,3-DIOXANE	117933-89-8	413-720-9	PERFUMING	
2-DODECENAL	4826-62-4	225-402-5	PERFUMING	
2-DODECENOL	22104-81-0	244-786-5	PERFUMING	
2-ETHOXY-2,6,6-TRIMETHYL-9-METHYLENEBICYCLO[3.3.1]NONANE	68845-00-1	272-447-1	PERFUMING	
2-ETHYL-1,3,3-TRIMETHYLBICYCLO[2.2.1]HEPTAN-2-OL	18368-91-7	242-243-7	PERFUMING	
2-ETHYL-2-(3-METHYLBUT-2-ENYL)HEX-3-ENOL	85136-06-7	285-728-9	PERFUMING	
2-ETHYL-3,5-DIMETHYLPYRAZINE	13925-07-0	237-694-1	PERFUMING	
2-ETHYL-3,(5 OR 6)-DIMETHYLPYRAZINE	27043-05-6	248-182-2	PERFUMING	
2-ETHYL-3-METHYLPYRAZINE	15707-23-0	239-799-8	PERFUMING	
2-ETHYL-4-HYDROXY-5-METHYLFURAN-3(2H)-ONE	27538-10-9	248-514-6	PERFUMING	
2-ETHYL-5-METHOXY-BICYCLOHEPTANE	122795-41-9	403-610-9	PERFUMING	
2-ETHYLBUTANOL	97-95-0	202-621-4	PERFUMING	
2-ETHYLBUTYL CYCLOPENT-1-ENEACETATE	68092-41-1	268-454-4	PERFUMING	
2-ETHYLBUTYL CYCLOPENT-2-ENEACETATE	94278-39-4	304-729-8	PERFUMING	
2-ETHYLBUTYRIC ACID	88-09-5	201-796-4	PERFUMING	
2-ETHYLHEXANOL	104-76-7		NOT REPORTED	
2-ETHYLHEXYLAL	22174-70-5		SOLVENT	
2-ETHYLIDENEDECANAL	64825-20-3	265-244-4	PERFUMING	
2-ETHYLPENTYL-1,3-DIOXOLANE	4359-47-1	224-436-8	PERFUMING	
2-FURANCARBALDEHYDE/HEPTANAL HYDROGENATED	68411-59-6	270-133-9	PERFUMING	
2-FURFURYLENEOCTANAL	67801-17-6	267-137-8	PERFUMING	
2-FURYL METHYL KETONE	1192-62-7	214-757-1	PERFUMING	
2-FURYLMETHANETHIOL	98-02-2	202-628-2	PERFUMING	
2-HEPTANOL	543-49-7	208-844-3	PERFUMING	
2-HEPTYLCYCLOPENTANONE	137-03-1	205-273-1	MASKING, PERFUMING	
2-HEPTYLFURAN	3777-71-7	223-236-8	PERFUMING	
2-HEPTYLIDENECYCLOPENTANONE	39189-74-7	254-339-6	PERFUMING	
2-HEXANOL	626-93-7	210-971-4	PERFUMING	
2-HEXENOL	2305-21-7	218-972-1	PERFUMING	
2-HEXYL-1,3-DIOXANOL	1708-36-7	216-961-6	PERFUMING	
2-HEXYL-1,3-DIOXOLANE	1708-34-5	216-959-5	PERFUMING	
2-HEXYL-1,3-DIOXOLANE-4-METHANOL	1708-35-6	216-960-0	PERFUMING	
2-HEXYLIDENECYCLOHEXAN-1-ONE	16429-07-5	240-481-6	PERFUMING	
2-HEXYLIDENECYCLOPENTANONE	17373-89-6	241-411-7	PERFUMING	III/177
2-HEXYLOXY-P-PHENYLENEDIAMINE HCL	1231977-17-5 (free base)			
2-HEXYLOXYCARBONYL-P-PHENYLENEDIAMINE HCL	2328127-45-1 (free base)			
2-HYDROXYETHYL ACRYLATE	818-61-1	212-454-9 (I)	FILM FORMING	
2-HYDROXYETHYL PICRAMIC ACID	99610-72-7	412-520-9	HAIR DYEING	III/222
2-HYDROXYETHYLAMINO-5-NITROANISOLE	66095-81-6	266-138-0	HAIR DYEING	III/236
2-HYDROXYPROPYL ACRYLATE	999-61-1; 25584-83-2	-, 247-118-0	FILM FORMING	
2-HYDROXYPROPYLCARBAMATO AMODIMETHICONE				
2-ISOBUTYLQUINOLINE	93-19-6	202-227-2	PERFUMING	
2-ISOPENTENAL	107-86-8	203-527-6	PERFUMING	
2-ISOPENTENYL PHENETHYL ETHER	50638-95-4	256-673-8	PERFUMING	
2-ISOPENTENYL SALICYLATE	68555-58-8	271-434-8	PERFUMING	
2-ISOPROPYL-4-METHYLANISOLE	31574-44-4	250-712-2	PERFUMING	
2-ISOPROPYL-5-METHYLANISOLE	1076-56-8	214-063-9	PERFUMING	
2-M-CRESYLETHANOL	1875-89-4	217-508-5	PERFUMING	
2-MELOZOL ACETATE	64644-34-4	264-991-3	PERFUMING	
2-MELOZOL FORMATE	64644-32-2	264-990-8	PERFUMING	
2-METHOXY-3-METHYLPYRAZINE	2847-30-5	220-651-6	PERFUMING	
2-METHOXY-4-METHOXYMETHYL-PHENOL	5533-03-9	226-882-9	PERFUMING	
2-METHOXY-P-CRESOL	93-51-6	202-252-9	PERFUMING	
2-METHOXY-P-PHENYLENEDIAMINE SULFATE	42909-29-5 / 66671-82-7	255-999-8 / 266-443-9	HAIR DYEING	
2-METHOXYMETHYL-P-AMINOPHENOL HCL	135043-65-1			
2-METHOXYMETHYL-P-PHENYLENEDIAMINE	337906-37-3	-	HAIR DYEING	
2-METHOXYMETHYL-P-PHENYLENEDIAMINE SULFATE	337906-37-3	474-270-7	HAIR DYEING	
2-METHOXYPHENOL/2,2-DIMETHYL-3-METHYLENEBICYCLO-HEPTANE HYDROGENATED	70955-71-4	275-062-7	PERFUMING	
2-METHYL-1,5-DIOXASPIROUNDECANE	6413-26-9	229-115-6	PERFUMING	
2-METHYL-1-NAPHTHOL	7469-77-4	231-265-2	HAIR DYEING	Annex III/I/263 - Directive 2012/21/EU
2-METHYL-2-BUTENOL	4675-87-0	225-127-0	PERFUMING	
2-METHYL-2-OCTANOL	628-44-4	211-044-7	PERFUMING	
2-METHYL-3-(1,7,7-TRIMETHYLBICYCLOHEPT-2-YLOXY)-PROPANOL	128119-70-0		PERFUMING	
2-METHYL-3-BUTEN-2-OL	115-18-4	204-068-4	PERFUMING	
2-METHYL-3-OXOPROPOXY-PYRAN-4-ONE	68555-63-5	271-440-0	PERFUMING	
2-METHYL-3-P-CRESYL-PROPIONALDEHYDE	41496-43-9	255-410-4	PERFUMING	
2-METHYL-4-(2,2,3-TRIMETHYL-3-CYCLOPENTENYL)-2-BUTEN-1-OL	28219-60-5	248-907-2	PERFUMING	
2-METHYL-4-(2,6,6-TRIMETHYL-1-CYCLOHEXENYL)-2-BUTENAL	3155-71-3	221-597-6	PERFUMING	
2-METHYL-4-(2,6,6-TRIMETHYL-2-CYCLOHEXENYL)-2-BUTENAL	68555-62-4	271-439-5	PERFUMING	
2-METHYL-4-(2,6,6-TRIMETHYL-2-CYCLOHEXENYL)-3-BUTENAL	58102-02-6	261-121-4	PERFUMING	
2-METHYL-4-HYDROXYPYRROLIDINE	94134-94-8	310-142-8	ORAL CARE, SKIN CONDITIONING, SOOTHING	
2-METHYL 5-CYCLOHEXYLPENTANOL	1141487-54-8		DEODORANT, SKIN CONDITIONING, SKIN PROTECTING	
2-METHYL-5-HYDROXYETHYLAMINOPHENOL	55302-96-0	259-583-7	HAIR DYEING	III/229
2-METHYL-5-METHYLVINYL-CYCLOHEXANOL	38049-26-2	253-755-5	PERFUMING	
2-METHYL 5-PHENYLPENTANOL	25634-93-9	405-890-8	MASKING	
2-METHYLBENZOXAZOLE	95-21-6	202-399-9	PERFUMING	
2-METHYLBUTANE-2-THIOL	1679-09-0	216-843-4	PERFUMING	
2-METHYLBUTANOL	137-32-6	205-289-9	PERFUMING	
2-METHYLBUTYL BUTYRATE	51115-64-1	256-973-9	PERFUMING	
2-METHYLBUTYL ISOVALERATE	2445-77-4	219-496-7	PERFUMING	
2-METHYLBUTYRALDEHYDE	96-17-3	202-485-6	PERFUMING	
2-METHYLBUTYRIC ACID	116-53-0	204-145-2	PERFUMING	
2-METHYLDODECANAL	37596-36-4	253-562-6	PERFUMING	
2-METHYLFURAN-3-THIOL	28588-74-1	249-094-7	PERFUMING	
2-METHYLNAPHTHALENE	91-57-6	202-078-3	PERFUMING	
2-METHYLPENT-2-ENOIC ACID	3142-72-1	221-552-0	PERFUMING	
2-METHYLPENT-2-ENYL ACETATE	1838-88-6	217-416-5	PERFUMING	
2-METHYLPENT-3-ENOIC ACID	37674-63-8	253-610-6	PERFUMING	
